
1,relais,5,194,614
2,echoppe,2,282,434
3,temple,1,336,702
4,rencontre,1,400,484
5,riziere,1,468,674
6,source,2,544,441
7,montagne,2,609,826
8,ferme,2,676,510
9,echoppe,1,732,833
10,temple,2,805,559
11,rencontre,1,871,787
12,mer,2,920,468
13,montagne,1,985,648
14,source,1,1008,407
15,relais,5,1091,471
16,mer,1,1179,616
17,temple,1,1229,464
18,ferme,2,1279,782
19,riziere,2,1334,457
20,montagne,2,1391,862
21,rencontre,2,1461,556
22,temple,1,1506,878
23,source,2,1564,687
24,montagne,1,1620,976
25,mer,2,1676,699
26,echoppe,1,1740,973
27,ferme,1,1795,773
28,relais,5,1890,827
29,riziere,1,1979,917
30,echoppe,1,2032,720
31,rencontre,2,2086,995
32,ferme,1,2146,698
33,montagne,2,2206,960
34,source,1,2257,663
35,mer,2,2324,874
36,riziere,1,2371,572
37,temple,2,2428,818
38,ferme,2,2475,431
39,rencontre,1,2529,659
40,mer,1,2573,425
41,echoppe,2,2630,686
42,relais,5,2716,477
43,source,1,2806,374
44,temple,2,2860,627
45,renconter,1,2912,321
46,echoppe,2,2966,566
47,mer,1,3012,262
48,ferme,2,3069,502
49,source,2,3131,111
50,rencontre,1,3191,381
51,montagne,1,3250,184
52,riziere,2,3314,471
53,mer,2,3386,100
54,echoppe,1,3458,314
55,relais,5,3560,111
